A.	A. Assamese	Assamese	assa1263	assa1263	91.29	26.09
al.	al. Alashai dialect of Pashai	Northwest Pashayi	nort2665	nort2665	69.99	35.17
ar.	ar. Areti dialect of Pashai	Northeast Pashayi	aret1240	nort2666	70.43	34.66
arm.	arm. Armenian dialect of Gypsy	Lomavren	loma1235	loma1235	45.00	40.00
as.	as. Asiatic dialects of Gypsy	Domari	doma1258	doma1258	35.00	32.00
Aw.	Aw. Awadhī	Awadhi	awad1243	awad1243	82.47	27.59
awāṇ.	awāṇ. Awāṇkārī dialect of Lahndā	Western Panjabi	west2386	west2386	75.35	30.09
B.	B. Bengali (Baṅglā)	Bengali	beng1280	beng1280	90.00	24.00
bāṅg.	bāṅg. Bāṅgarū dialect of Western Hindī	Hindi	bang1336	hind1269	77.00	25.00
bhad.	bhad. Bhadrawāhī dialect of West Pahāṛī	Bhadrawahi	bhad1241	bhad1241	75.87	33.29
bhal.	bhal. Bhalesī dialect of West Pahāṛī	Bhadrawahi	bhal1244	bhad1241	75.87	33.29
bhaṭ.	bhaṭ. Bhaṭěālī sub-dialect of Ḍogrī dialect of Panjābī	Bhattiyali	bhat1263	bhat1263	76.03	32.40
bhiḍ.	bhiḍ. Bhiḍlàī sub-dialect of Bhadrawāhī dialect of West Pahāṛī	Bhadrawahi	bhad1241_b	bhad1241	75.87	33.29
Bhoj.	Bhoj. Bhojpurī	Bhojpuri	bhoj1244	bhoj1244	84.82	26.46
Bi.	Bi. Bihārī [???]	Bagheli	bagh1251	bagh1251	87.50	24.68
bir.	bir. Birir dialect of Kalasha	Kalasha	kala1372	kala1372	71.67	35.64
boh.	boh. Bohemian dialect of European Gypsy	Carpathian Romani	bohe1241	carp1235	20.31	48.20
Brj.	Brj. Brajbhāṣā	Braj	braj1242	braj1242	78.08	26.48
bro.	bro. Brokpā dialect of Shina	Brokskat	brok1247	brok1247	76.60	34.53
Bshk.	Bshk. Bashkarīk (Dard.)	Kalami	kala1373	kala1373	72.57	35.53
bul.	bul. Bulgarian dialect of European Gypsy	Balkan Romani	balk1252	balk1252	21.17	42.67
cam.	cam. Cameāḷī dialect of West Pahāṛī	Chambeali	cham1307	cham1307	76.18	32.55
chil.	chil. Chilasi dialect of Shina or of Pashai	Northeast Pashayi	nort2666	nort2666	70.43	34.66
Chil.	Chil. Chilīs (Dard.)	Chilisso	chil1275	chil1275	73.33	35.25
cur.	cur. Curāhī dialect of West Pahāṛī	Churahi	chur1258	chur1258	76.11	32.90
Ḍ.	Ḍ. Ḍumāki	Domaaki	doma1260	doma1260	74.80	36.33
dar.	dar. Darrai-i Nūr dialect of Pashai	Southeast Pashayi	sout2672	sout2672	70.30	34.43
ḍoḍ.	ḍoḍ. Ḍoḍī (Sirājī of Ḍoḍā), a dialect of Kashmiri in Jammu	Kashmiri	kash1277	kash1277	74.33	34.17
ḍog.	ḍog. Ḍogrī dialect of Panjābī	Dogri	dogr1250	dogr1250	75.71	32.55
dr.	dr. Drās dialect of Shina	Shina	shin1264	shin1264	75.29	34.65
eng.	eng. English dialect of European Gypsy	Welsh Romani	wels1246	wels1246	-3.79	52.12
eur.	eur. European (Gypsy)	Vlax Romani	vlax1238	vlax1238	14.85	46.82
G.	G. Gujarātī	Gujarati	guja1252	guja1252	71.10	22.69
Garh.	Garh. Gaṛhwālī	Garhwali	garh1243	garh1243	78.72	30.51
Gau.	Gau. Gauro (Dard.)	Gawar-Bati	gawa1247	gawa1247	71.54	35.20
Gaw.	Gaw. Gawar-Bati (Dard.)	Gawar-Bati	gawa1247_b	gawa1247	71.54	35.20
ghis.	ghis. Ghisāḍī dialect of wandering blacksmiths in Gujarat	Gujarati	guja1252	guja1252	71.10	22.69
gil.	gil. Gilgitī dialect of Shina	Shina	shin1264	shin1264	75.29	34.65
gng.	gng. Gaṅgoī dialect of Kumaunī	Kumaoni	kuma1273	kuma1273	80.02	29.56
gr.	gr. Greek dialect of European Gypsy	Balkan Romani	sepe1242	balk1252	21.17	42.67
gul.	gul. Gulbahārī dialect of Pashai	Northwest Pashayi	nort2665	nort2665	69.99	35.17
gur.	gur. Gurēsī dialect of Shina	Shina	shin1264	shin1264	75.29	34.65
Gy.	Gy. Gypsy or Romani	Vlax Romani	vlax1238	vlax1238	14.85	46.82
H.	H. Hindī	Hindi	hind1269	hind1269	77.00	25.00
